state,year,sex,population
Pahang,1973,male,312
Pahang,1974,both,626
Pahang,1974,female,300
Pahang,1974,male,326
Pahang,1975,both,653
Pahang,1975,female,313
Pahang,1975,male,341
Pahang,1976,both,680
Pahang,1976,female,326
Pahang,1976,male,355
Pahang,1977,both,710
Pahang,1977,female,339
Pahang,1977,male,370
Pahang,1978,both,738
Pahang,1978,female,353
Pahang,1978,male,385
Pahang,1979,both,768
Pahang,1979,female,367
Pahang,1979,male,401
Pahang,1980,both,802
Pahang,1980,female,383
Pahang,1980,male,419
Pahang,1981,both,821
Pahang,1981,female,392
Pahang,1981,male,429
Pahang,1982,both,842
Pahang,1982,female,401
Pahang,1982,male,441
Pahang,1983,both,865
Pahang,1983,female,412
Pahang,1983,male,453
Pahang,1984,both,889
Pahang,1984,female,423
Pahang,1984,male,466
Pahang,1985,both,915
Pahang,1985,female,436
Pahang,1985,male,479
Pahang,1986,both,944
Pahang,1986,female,449
Pahang,1986,male,494
Pahang,1987,both,971
Pahang,1987,female,463
Pahang,1987,male,508
Pahang,1988,both,998
Pahang,1988,female,477
Pahang,1988,male,522
Pahang,1989,both,1026
Pahang,1989,female,490
Pahang,1989,male,536
Pahang,1990,both,1054
Pahang,1990,female,504
Pahang,1990,male,550
Pahang,1991,both,1080
Pahang,1991,female,519
Pahang,1991,male,560
Pahang,1992,both,1104
Pahang,1992,female,530
Pahang,1992,male,574
Pahang,1993,both,1128
Pahang,1993,female,541
Pahang,1993,male,587
Pahang,1994,both,1152
Pahang,1994,female,552
Pahang,1994,male,600
Pahang,1995,both,1176
Pahang,1995,female,563
Pahang,1995,male,614
Pahang,1996,both,1201
Pahang,1996,female,574
Pahang,1996,male,627
Pahang,1997,both,1225
Pahang,1997,female,585
Pahang,1997,male,640
Pahang,1998,both,1249
Pahang,1998,female,596
Pahang,1998,male,653
Pahang,1999,both,1272
Pahang,1999,female,606
Pahang,1999,male,666
Pahang,2000,both,1296
Pahang,2000,female,617
Pahang,2000,male,679
Pahang,2001,both,1317
Pahang,2001,female,627
Pahang,2001,male,691
Pahang,2002,both,1339
Pahang,2002,female,636
Pahang,2002,male,703
Pahang,2003,both,1360
Pahang,2003,female,645
Pahang,2003,male,715
Pahang,2004,both,1380
Pahang,2004,female,653
Pahang,2004,male,727
Pahang,2005,both,1401
Pahang,2005,female,662
Pahang,2005,male,739
Pahang,2006,both,1421
Pahang,2006,female,670
Pahang,2006,male,751
Pahang,2007,both,1441
Pahang,2007,female,679
Pahang,2007,male,763
Pahang,2008,both,1462
Pahang,2008,female,687
Pahang,2008,male,774
Pahang,2009,both,1482
Pahang,2009,female,695
Pahang,2009,male,786
Pahang,2010,both,1502
Pahang,2010,female,704
Pahang,2010,male,798
Pahang,2011,both,1527
Pahang,2011,female,714
Pahang,2011,male,813
Pahang,2012,both,1547
Pahang,2012,female,723
Pahang,2012,male,824
Pahang,2013,both,1569
Pahang,2013,female,731
Pahang,2013,male,838
Pahang,2014,both,1592
Pahang,2014,female,742
Pahang,2014,male,850
Pahang,2015,both,1608
Pahang,2015,female,750
Pahang,2015,male,858
Pahang,2016,both,1627
Pahang,2016,female,759
Pahang,2016,male,867
Pahang,2017,both,1647
Pahang,2017,female,769
Pahang,2017,male,878
Pahang,2018,both,1665
Pahang,2018,female,778
Pahang,2018,male,887
Pahang,2019,both,1671
Pahang,2019,female,785
Pahang,2019,male,887
Pahang,2020,both,1591
Pahang,2020,female,747
Pahang,2020,male,844
Pahang,2021,both,1602
Pahang,2021,female,754
Pahang,2021,male,847
Pahang,2022,both,1614
Pahang,2022,female,761
Pahang,2022,male,853
Pahang,2023,both,1643
